,Names,Country,Year,Links
63,Tecnocampo S.A.,Argentina ,2022,https://responsiblesoy.org/wp-content/uploads/2022/05/2022_Informe-Publico_Tecnocampo-S.A..pdf
64,Landmark Agri Exports,India ,2022,https://responsiblesoy.org/wp-content/uploads/2022/05/2022_Informe-Publico_Landmark-Agri-Exports-Private-Limited.pdf
65,GEAR S.A.A.I.C.F.E.I. no-GMO,Argentina ,2022,https://responsiblesoy.org/wp-content/uploads/2022/05/2022_Informe-Publico_GEAR-S.A.A.I.C.F.E.I.-no-GMO.pdf
66,GEAR S.A.A.I.C.F.E.I.,Argentina ,2022,https://responsiblesoy.org/wp-content/uploads/2022/05/2022_Informe-Publico_GEAR-S.A.A.I.C.F.E.I..pdf
67,AgroSB Agropecuária S.A.,Brazil ,2022,https://responsiblesoy.org/wp-content/uploads/2022/05/2022_Informe-Publico_AgroSB-Agropecuaria-S.A..pdf
68,Amaggi Commodities EU RED,Brazil ,2022,https://responsiblesoy.org/wp-content/uploads/2022/05/2022_Informe-Publico_Amaggi-EU-RED-Commodities.pdf
69,Agricola Piquillin S.R.L,Argentina ,2022,https://responsiblesoy.org/wp-content/uploads/2022/05/2022_Informe-Publico_Agricola-Piquillin-S.R.L..pdf
70,Louis Dreyfus Company - LDC Sorriso,Brazil ,2022,https://responsiblesoy.org/wp-content/uploads/2022/05/2022_Informe-Publico_Louis-Dreyfus-Company-LDC-Sorriso.pdf
71,Rafael Alfredo Peralta Rodríguez,Argentina ,2021,https://responsiblesoy.org/wp-content/uploads/2022/05/2021_Informe-Publico_Rafael-Alfredo-Peralta-Rodriguez.pdf
72,Suri Yaco S.R.L.,Argentina ,2021,https://responsiblesoy.org/wp-content/uploads/2022/05/2021_Informe-Publico_SuriYaco-SRL.pdf
73,Iruña SAIC,Paraguay ,2021,https://responsiblesoy.org/wp-content/uploads/2022/05/2021_Informe-Publico_Iruna.pdf
74,Arvind Limited,India ,2022,https://responsiblesoy.org/wp-content/uploads/2022/04/2022_Informe-Publico_Arvind-Limited.pdf
75,Cataratas do Iguaçu Produtos Orgânicos Ltda - Gebana Brasil,Brazil ,2022,https://responsiblesoy.org/wp-content/uploads/2022/04/2022_Informe-Publico_Cataratas-do-Iguacu-Produtos-Organicos-Gebana-Brasil.pdf
76,Agropecuaria Busanello S.A.,Paraguay ,2021,https://responsiblesoy.org/wp-content/uploads/2022/04/2021_Informe-Publico_Agropecuaria-Busanello-S.A..pdf
77,Delfino Llobet S.R.L.,Argentina ,2021,https://responsiblesoy.org/wp-content/uploads/2022/04/2021_Informe-Publico_Delfino-Llobet-S.R.L..pdf
