,Organization,Names,Year,Links,RegTag,Companies,Total_Production,Issue_Date,Expiration_Date,Total_Farm_Area,n_members,Type,1_1_criteria,1_2_criteria,1_3_criteria,2_1_criteria,2_2_criteria,2_3_criteria,2_4_criteria,2_5_criteria,3_1_criteria,3_2_criteria,3_3_criteria,3_4_criteria,4_1_criteria,4_2_criteria,4_3_criteria,4_4_criteria,4_5_criteria,5_1_criteria,5_2_criteria,5_3_criteria,5_4_criteria,5_5_criteria,5_6_criteria,5_7_criteria,5_8_criteria,5_9_criteria,5_10_criteria,5_11_criteria,score_per_enterprise,Yield,cluster
59,SLC Agrícola,SLC Agrícola,2021,https://responsiblesoy.org/wp-content/uploads/2021/10/2021_Informe-Publico_SLC-Agricola.pdf,RTRS GC FORM IT 016,Gênesis Certificações,478880.03,23/09/21,23/09/26,123907.29,7,Multi-Site,1,1,1,-2,-2,-2,1,1,-2,1,-2,1,0,1,1,1,1,1,1,-2,1,1,-2,0,2,0,-2,1,1,3.8648253060816686,2
60,Bartira Agropecuária,Fazendas Bartira ,2021,https://responsiblesoy.org/wp-content/uploads/2021/09/2021_Informe-Publico_Fazendas-Bartira-no-GMO.pdf,RTRS CUC AGR COC NGMO 0064,Control Union,123763.0,19/07/18,18/07/23,102613.32,7,Multi-Site,-2,1,1,-2,1,1,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,-2,1,1,0,1,19,1.2061104737669535,0
61,Bartira Agropecuária,Fazendas Bartira – non-GMO,2021,https://responsiblesoy.org/wp-content/uploads/2021/09/2021_Informe-Publico_Fazendas-Bartira.pdf,RTRS CUC AGR COC NGMO 0064,Control Union,17844.66,19/07/18,18/07/23,2000.0,1,Individual,-2,1,1,-2,1,1,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,-2,1,1,0,1,19,8.92233,0
62,Aliança da Terra,Aliança da Terra - Grupo IV,2021,https://responsiblesoy.org/wp-content/uploads/2021/09/2021_Infome-Publico_Alianca-da-Terra-Grupo-IV.pdf,RTRS FCID AGR COC 0022,FoodChain Id Certificadora Ltda,237309.7,02/07/21,01/07/26,56182.1,34,Group,0,2,1,-2,1,0,-2,-2,1,1,0,0,1,-2,1,0,1,0,-2,1,1,-2,-2,2,-2,-1,0,2,-2,4.223937873450797,2
63,Fazenda Agrícola Dourado,Fazenda Agrícola Dourado S.A.,2021,https://responsiblesoy.org/wp-content/uploads/2021/07/2021_Informe-Publico_Fazenda-Agricola-Dourado-S.A..pdf,RTRS CUC AGR COC 0066,Control Union,42480.0,03/12/18,02/12/23,11800.0,1,Individual,1,1,1,-2,1,1,0,0,1,1,2,0,1,1,1,0,0,1,1,1,0,-1,-2,-2,1,0,0,-2,6,3.6,0
64,Amaggi,Amaggi Commodities EU RED,2021,https://responsiblesoy.org/wp-content/uploads/2021/06/2021_Informe-Publico_Amaggi-EU-RED-Commodities.pdf,RTRS CERTID AGR COC BFLS 0009,Cert Id Certificadora,104787.9,28/11/17,27/11/22,31232.0,27,Group,1,1,1,-2,2,2,-2,-2,2,-2,1,2,1,0,0,-2,-2,1,1,1,-1,0,-2,-2,-2,1,1,2,0,3.355145363729508,2
65,Fundação de Apoio à Pesquisa do Corredor de Exportação Norte Irineu Alcides Bays,FAPCEN I,2021,https://responsiblesoy.org/wp-content/uploads/2021/05/2021_Informe-Publico_FAPCEN-Grupo-I.pdf,RTRS CUC AGR COC 0047,Control Union,4230.43,27/05/21,26/05/26,100331.09,7,Group,1,1,2,-2,1,1,-2,-1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,-2,1,1,1,1,-2,13,0.04216469690501718,0
66,Fundação de Apoio à Pesquisa do Corredor de Exportação Norte Irineu Alcides Bays,FAPCEN III,2021,https://responsiblesoy.org/wp-content/uploads/2021/05/2021_Informe-Pubblico_FAPCEN-III.pdf,RTRS CUC AGR COC 0072,Control Union,125279.21,20/01/20,19/01/25,35698.05,6,Group,1,1,1,-2,1,1,0,0,1,1,1,1,1,1,1,-2,1,1,1,1,1,1,-2,1,1,1,1,-2,13,3.509413259267663,0
67,Cataratas do Iguaçu Produtos Orgânicos,Cataratas do Iguaçu Produtos Orgânicos Ltda - Gebana Brasil,2021,https://responsiblesoy.org/wp-content/uploads/2021/04/2021_Informe-Publico_Cataratas-do-Iguazu-Productos-Organicos-Ltda-Gebana-Brasil.pdf,RTRS CUC AGR COC NGMO 0073,Control Union,791.25,27/01/20,26/01/25,233.3,15,Group,1,1,0,-2,1,-2,-2,-2,-2,-2,1,1,1,-2,1,-2,1,1,-1,1,1,-2,-2,-2,-2,1,-1,-2,-17,3.3915559365623658,1
68,AgroSB,AgroSB Agropecuária S.A.,2021,https://responsiblesoy.org/wp-content/uploads/2021/03/2021_Informe-Publico_AgroSB-Agropecuaria-S.A..pdf,RTRS CUC AGR COC 0075,Control Union,2321.0,13/02/20,12/02/25,697.0,1,Individual,1,-2,-2,-2,2,1,-2,-2,2,-2,-2,1,-2,0,1,-2,-2,-2,0,1,1,-2,-2,1,1,-2,-1,-2,-20,3.3299856527977045,1
69,AgroSB,AgroSB Agropecuária S.A.,2020,https://responsiblesoy.org/wp-content/uploads/2021/03/2020_Informe-Publico_AgroSB-Agropecuaria-S.A..pdf,RTRS CUC AGR COC 0075,Control Union,2448.59,13/02/20,12/02/25,671.56,1,Individual,1,-2,-2,-2,2,1,-2,-2,2,-2,-2,1,-2,0,1,-2,-2,-2,0,1,1,-2,-2,1,1,-2,-1,-2,-20,3.646122461135268,1
70,Agrex do Brasil,Agrex do Brasil S.A.,2020,https://responsiblesoy.org/wp-content/uploads/2021/03/2020_Informe-Publico_Agrex-do-Brasil-S.A.-2.pdf,RTRS BV AGR CoC 0008,Bureau Veritas,58922.0,26/02/21,27/07/23,17696.0,5,Multi-Site,1,-2,1,-2,1,1,1,-2,-2,-2,-2,1,1,1,1,-2,-1,1,-2,1,1,1,-2,-2,-2,-2,1,2,-10,3.3296790235081373,2
71,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,2021,https://responsiblesoy.org/wp-content/uploads/2021/03/2021_Informe-Publico_Cerquality-Consultoria-em-Sustentabilidade-e-Certificacao-LTDA-ME-Grupo-I.pdf,RTRS CUC AGR COC 0048,Control Union,463009.52,01/03/21,28/02/26,150046.8,34,Group,1,1,1,-2,1,1,0,0,-2,1,2,2,1,1,1,0,1,1,1,1,1,1,-2,1,1,1,1,-2,14,3.085767373912673,0
