,Organization,Names,Year,Links,RegTag,Companies,Total_Production,Issue_Date,Expiration_Date,Total_Farm_Area,n_members,Type,1_1_criteria,1_2_criteria,1_3_criteria,2_1_criteria,2_2_criteria,2_3_criteria,2_4_criteria,2_5_criteria,3_1_criteria,3_2_criteria,3_3_criteria,3_4_criteria,4_1_criteria,4_2_criteria,4_3_criteria,4_4_criteria,4_5_criteria,5_1_criteria,5_2_criteria,5_3_criteria,5_4_criteria,5_5_criteria,5_6_criteria,5_7_criteria,5_8_criteria,5_9_criteria,5_10_criteria,5_11_criteria,score_per_enterprise,Yield,cluster
94,Grupo Reinhofer,Grupo Reinhofer,2020,https://responsiblesoy.org/wp-content/uploads/2020/09/2020-_-Informe-Publico_Grupo_Reinhofer.pdf,RTRS CUC AGR COC 0069,Control Union,25538.35,08/02/19,07/02/24,6080.56,5,Multi-Site,2,2,1,-2,1,1,-2,0,1,-2,0,1,1,1,1,1,1,1,1,1,1,1,-2,-2,1,0,1,1,10,4.199999671082926,0
95,Agrex do Brasil,Agrex do Brasil S.A.,2020,https://responsiblesoy.org/wp-content/uploads/2020/09/2020_Informe-Publico_Agrex-do-Brasil-S.A..pdf,RTRS BV AGR CoC 0008,Bureau Veritas,73772.0,28/07/20,27/07/23,26794.0,6,Multi-Site,1,-2,1,-2,1,2,-2,-2,-2,-2,-2,1,1,-2,1,-2,-2,1,0,1,1,1,-2,-2,-2,0,1,-2,-16,2.753302978278719,1
96,Saag Comercial Exportadora ,SAAG Comercial Exportadora Ltda. non-GMO,2020,https://responsiblesoy.org/wp-content/uploads/2020/08/2020_Informe-Publico_SAAG-Comercial-Exportadora-Ltda..pdf,RTRS CUC AGR COC 0020,Control Union,35088.87,11/06/18,10/06/23,11696.29,9,Group,1,2,1,-2,1,1,0,-1,1,1,1,-2,1,1,1,0,1,1,0,1,-2,1,-2,-2,0,1,2,-2,5,3.0,2
97,Amaggi,Amaggi Commodities EU RED,2020,https://responsiblesoy.org/wp-content/uploads/2021/03/2020_Informe-Publico_Amaggi-Commodities-EU-RED-2-5.pdf,RTRS CERTID AGR COC BFLS 0009,Cert Id Certificadora,104787.9,28/11/17,27/11/22,31232.0,26,Group,1,1,1,-2,2,2,-2,-2,2,-2,1,2,1,0,0,-2,-2,1,1,1,-1,0,-2,-2,-2,1,1,2,0,3.355145363729508,2
98,Fundação de Apoio à Pesquisa do Corredor de Exportação Norte Irineu Alcides Bays,FAPCEN III,2020,https://responsiblesoy.org/wp-content/uploads/2020/07/2020_Informe-Publico_FAPCEN-Grupo-III.2.pdf,RTRS CUC AGR COC 0072,Control Union,125279.21,20/01/20,19/01/25,35698.05,6,Group,1,1,1,-2,1,1,0,0,1,1,1,1,1,1,1,-2,1,1,1,1,1,1,-2,1,1,1,1,-2,13,3.509413259267663,0
99,Fundação de Apoio à Pesquisa do Corredor de Exportação Norte Irineu Alcides Bays,FAPCEN,2020,https://responsiblesoy.org/wp-content/uploads/2020/07/2020_Informe-Publico_FAPCEN-Grupo-I.pdf,RTRS CUC AGR 0047,Control Union,155914.0,14/06/16,13/06/21,61143.57,4,Group,1,2,1,-2,1,1,-2,-1,-2,1,-2,-2,-1,-2,1,-2,1,1,0,1,1,1,-2,0,1,-2,1,-2,-8,2.549965597363713,2
100,Bartira Agropecuária,Fazendas Bartira,2020,https://responsiblesoy.org/wp-content/uploads/2020/07/2020_Informe-Publico_Fazenda-Bartira.pdf,RTRS CUC AGR COC 0064,Control Union,123763.0,19/07/18,19/07/23,37985.0,7,Multi-Site,-2,1,1,-2,1,1,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,-2,1,1,0,1,19,3.258207187047519,0
101,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificacao LTDA - Grupo I,2020,https://responsiblesoy.org/wp-content/uploads/2020/06/2020_Informe-Publico_-Cerquality-Consultoria-em-Sustentabilidade-e-Certificacao-LTDA-Grupo-I.pdf,RTRS CUC AGR COC 0048,Control Union,238537.0,23/12/19,22/12/24,66019.5,15,Group,1,2,1,-2,1,1,-2,-1,1,1,1,-2,-1,1,1,-1,1,1,1,1,1,1,-2,1,-2,-2,1,-2,1,3.6131294541764176,2
102,Louis Dreyfus Company ,Louis Dreyfus Company – LDC Sorriso,2019,https://responsiblesoy.org/wp-content/uploads/2020/04/2019_Informe-Publico_Louis-Dreyfus-Company-–-LDC-Sorriso.pdf,RTRS FCID AGR COC 0017,FoodChain Id Certificadora Ltda,238537.0,23/12/19,22/12/24,66019.5,15,Group,1,2,-2,-2,-2,0,2,-2,2,-2,-2,-2,-2,-2,1,1,-2,-1,1,2,-2,-2,-2,-2,-2,-2,0,-2,-24,3.6131294541764176,1
103,Agrex do Brasil,Agrex do Brasil S.A.,2018,https://responsiblesoy.org/wp-content/uploads/2020/04/2018_Informe-Publico_Agrex-do-Brasil.pdf,RTRS SCHU AGR 0008,Schutter Argentina,83520.0,27/07/18,27/07/23,25750.0,6,Multi-Site,1,-2,1,-2,1,1,-2,-2,2,-2,-2,0,1,-2,1,-2,1,1,1,1,1,-2,-2,-2,-2,0,1,-2,-13,3.243495145631068,1
