Organization,Name,Farm,Address,Latitude,Longitude
Amaggi,Amaggi Commodities,Rancho Alegre,"Rod. BR 163, KM 585, a direita mais 110 KM, Santa Rita do Trivelato - Distrito de Pacoval - Mato Grosso","55?18'03,1""W","14?06'52,3"""
Amaggi,Amaggi Commodities,Fabiane II,"Rodovia BR 163, Km 600, à direita mais 28 Km pela MT 235, Nova Mutum - Mato Grosso","55?52'23,06""W","13?45'9,76""S"
Amaggi,Amaggi Commodities,Globo,"Rodovia BR-364, Km 1056, Sapezal - Mato Grosso","58?35' 35,9""W","12? 57'06,6""S"
Amaggi,Amaggi Commodities,Santa Rosa do Paraná I e II,"Rodovia MT 235, Km 137, entrando à direita percorre-se uma distância de 17 quilômetros, Sapezal - Mato Grosso",58?51'28''W,13?24'40''S
Amaggi,Amaggi Commodities,Paraíso,"Rodovia MT 235, Km 80, + 23 Km à direita, Sapezal - Mato Grosso","58?27'39"" W","13?22'33"" S"
Amaggi,Amaggi Commodities,Canário e Rodeio,"Rodovia MT 235, Km 110 + 20 Km à direita, Sapezal - Mato Grosso",58?42'14''W,13?37'39'' S
Amaggi,Amaggi Commodities,Flexa de Ouro I,"Rodovia MT-170, Km 200 + 2 à esquerda, Brasnorte - Mato Grosso","58?05'58,4""W","12?33'15,0""S"
Amaggi,Amaggi Commodities,Flexa de Ouro II,"Rodovia estadual MT 220 Km 70, Juara - Mato Grosso","57?53'31,7''W","11?32'38,5''S"
Amaggi,Amaggi Commodities,Lajeada,"Rodovia MT 388 Km 45, linha alto Juruena, Campo de Júlio - Mato Grosso",59?12'5.34''W,14?06'23''S
Amaggi,Amaggi Commodities,Estrela,"Rodovia MT-170, Km 50 à direita, Campo Novo do Parecis - Mato Grosso","57?57'48,39""W","13?52'11,79""S"
Amaggi,Amaggi Commodities,Santa Maria,"Rodovia MT-170, Km 80 + 50 Km direita, Campo Novo do Parecis - Mato Grosso","57?43?'30,0""W","13?19'41,2""S"
Amaggi,Amaggi Commodities,Santa Maria (Cristina),"Rodovia MT-170, Km 74 + 40 Km direita, Campo Novo do Parecis - Mato Grosso","57?55'33,93""W","13?47'5,91""S"
Amaggi,Amaggi Commodities,Santa Amelia / Curitiba,"Rodovia MT-170, Km 74 + 40 Km direita, Campo Novo do Parecis - Mato Grosso","57?35'14,8""W","13?49'0,8""S"
Amaggi,Amaggi Commodities,Vista Alegre,"Rodovia MT-170, Km 75 + 22 Km direita, Campo Novo do Parecis - Mato Grosso","57?43'34,7""W","13?33'34,7""S"
Amaggi,Amaggi Commodities,Sudoeste,"Rodovia MT-170, Km 74 + 40 Km direita, Campo Novo do Parecis - Mato Grosso","57?32?'26,6""W","13?45'26,6""S"
Amaggi,Amaggi Commodities,Piramide,"Rodovia MT-170, Km 86 + 40 Km direita, Campo Novo do Parecis - Mato Grosso","57?46'50,4"" W","13?18'03,5""S"
Amaggi,Amaggi Commodities,São Carlos,"Rodovia MT-170, Km 90 + 2 Km esquerda, Campo Novo do Parecis - Mato Gross","57?56'10,81""W","13?34'14,98""S"
Amaggi,Amaggi Commodities,Porta do Céu,"Rodovia MT-170, Km 90 + 2 Km esquerda - Campo Novo do Parecis - Mato Grosso","57?56'10,81""W","13?34'14,98""S"
