"Ticker","Nome","Negócios","Última (R$)","Variação"
"DIRR3","Direcional","1.186.900","22,13","-1,51%"
"AMBP3","Ambipar","1.164.400","13,88","-3,48%"
"BRSR6","Banrisul","1.126.000","13,91","-4,73%"
"OIBR4","Oi","1.098.600","2,02","+17,44%"
"KEPL3","Kepler Weber","1.091.600","9,65","-0,62%"
"BMOB3","Bemobi","1.005.300","12,36","-2,68%"
"RCSL4","Recrusul","994.300","0,77","+0,00%"
"USIM3","Usiminas","959.400","8,99","+1,35%"
"ORVR3","Orizon","911.500","34,44","-2,41%"
"MBLY3","Mobly","907.400","2,20","+1,38%"
"MDIA3","M. Dias Branco","871.700","38,53","-1,18%"
"POSI3","Positivo","801.900","7,25","-0,68%"
"MYPK3","Iochpe-Maxion","763.400","11,72","-3,62%"
"VLID3","Valid","759.500","19,94","-5,50%"
"BRIT3","Brisanet","744.100","2,98","-0,67%"
"CLSA3","ClearSale","730.300","3,93","-0,25%"
"CAML3","Camil Alimentos","716.700","8,53","+0,24%"
"ARML3","Armac","676.500","13,90","-1,21%"
"ENJU3","Enjoei","675.400","1,58","+0,00%"
"AGRO3","BrasilAgro","667.100","24,26","-1,50%"
"PTBL3","Portobello","642.900","5,68","-3,73%"
"MATD3","Mater Dei","639.800","6,42","-3,02%"
"PRNR3","Priner","635.400","11,44","-0,69%"
"MILS3","Mills","632.100","12,41","-2,82%"
"LEVE3","Mahle Metal Leve","616.800","33,27","-2,29%"
"ITUB3","Itaú Unibanco","610.400","28,99","-0,96%"
"HBOR3","Helbor","562.800","2,67","-4,30%"
"SEER3","Ser Educacional","558.900","5,67","-2,74%"
"RANI3","Irani","558.200","10,10","-1,37%"
"OPCT3","OceanPact","553.200","5,70","-1,38%"
"LAVV3","Lavvi Incorporadora","539.300","7,71","-2,03%"
"TRIS3","Trisul","534.300","4,35","-4,81%"
"HBRE3","HBR Realty","528.800","4,64","-4,72%"
"PORT3","Wilson Sons","518.700","16,79","-0,06%"
"CSED3","Cruzeiro do Sul Educacional","501.300","3,83","-1,79%"
"KLBN3","Klabin","490.400","4,29","-0,46%"
"JALL3","Jalles Machado","489.800","7,38","-2,77%"
"DASA3","Dasa","489.800","7,05","-6,62%"
"AZEV3","Azevedo & Travassos","471.500","1,60","+1,91%"
"VITT3","Vittia","389.300","8,10","-1,58%"
"ETER3","Eternit","379.400","6,88","-4,44%"
"FESA4","Ferbasa","377.500","9,78","-1,01%"
"TUPY3","Tupy","374.200","25,62","-1,50%"
"PNVL3","Dimed","367.400","11,50","-2,54%"
"WIZC3","Wiz Soluções","367.400","6,41","-2,29%"
"TRAD3","Traders Club","345.200","0,68","-2,86%"
"LOGG3","LOG CP","337.600","21,38","-4,77%"
"TASA4","Taurus","335.400","14,22","-1,11%"
"AMAR3","Lojas Marisa","319.800","2,59","-1,89%"
"FRAS3","Fras-le","303.200","15,19","-2,13%"
"TAEE4","Taesa","296.700","12,07","-2,27%"
"JSLG3","JSL","278.800","10,72","-1,56%"
"BLAU3","Blau Farmacêutica","269.100","12,20","-2,40%"
"LUPA3","Lupatech","268.000","1,90","-0,52%"
"SHUL4","Schulz","262.400","6,59","-0,60%"
"AGXY3","AgroGalaxy","261.600","2,22","-3,48%"
"SAPR3","Sanepar","250.300","5,24","-1,50%"
"PFRM3","Profarma","248.800","4,60","-3,36%"
"CMIG3","CEMIG","239.600","14,99","-0,66%"
"NGRD3","Neogrid","228.400","1,12","+0,00%"
"SYNE3","SYN","224.500","4,51","-1,31%"
"TFCO4","Track & Field","215.500","13,99","+0,72%"
"ROMI3","Indústrias ROMI","206.000","12,64","-2,84%"
